1,4,0.875,0.0125,move slow towards left
4,1,0.9167,0,move slow towards right
1,4,1.5,0,move fast towards left
4,1,1.25,0,move fast towards right
1,4,1,-0.125,move fast towards left
4,1,0.6667,0.025,move slow towards right
1,4,1.5,0,move fast towards left
4,1,1.25,-0.125,move fast towards right
1,4,1,0.125,move slow towards left
4,1,0.625,0.0312,move slow towards right
1,4,0.6667,0,move slow towards left
4,1,1,-0.125,move fast towards right
1,4,1.5,0,move fast towards left
4,1,0.6667,0,move slow towards right
1,4,0.4583,-0.0089,move slow towards left
4,1,0.6667,0.025,move slow towards right
1,4,1.5,0,move fast towards left
4,1,1.25,-0.125,move fast towards right
1,4,0.6667,0,move slow towards left
4,1,1.5,0,move fast towards right
1,4,0.625,-0.0312,move slow towards left
4,1,0.6667,0.025,move slow towards right
1,4,1.25,0.125,move fast towards left
4,1,1.25,0.125,move fast towards right
1,4,1.25,0,move fast towards left
4,1,0.6667,0.025,move slow towards right
1,4,1.5,0,move fast towards left
4,1,1.25,0.125,move fast towards right
1,4,1,0.125,move slow towards left
4,1,0.5417,0.0062,move slow towards right
1,4,0.5833,-0.025,move slow towards left
4,1,1,-0.125,move fast towards right
1,4,1,-0.75,move fast towards left
4,1,0.6667,0,move slow towards right
1,4,0.4583,-0.0089,move slow towards left
4,1,0.5833,0,move slow towards right
1,4,1,0,move fast towards left
4,1,0.75,0.3125,move fast towards right
1,4,0.5833,-0.025,move slow towards left
4,1,1,-0.75,move fast towards right
1,4,0.6667,-0.025,move slow towards left
4,1,0.9167,0.15,move slow towards right
1,4,1.5,0,move fast towards left
4,1,1.25,0,move fast towards right
1,4,1.25,-0.125,move fast towards left
4,1,0.6667,0.025,move slow towards right
1,4,0.5,0,move fast towards left
4,1,1,-0.75,move fast towards right
1,4,0.9167,0.15,move slow towards left
4,1,0.625,0.0312,move slow towards right
1,4,0.6667,0,move slow towards left
4,1,1,-0.125,move fast towards right
1,4,1.5,0,move fast towards left
4,1,0.5833,0.025,move slow towards right
1,4,0.4583,-0.0089,move slow towards left
4,1,0.5833,0,move slow towards right
1,4,1,0,move fast towards left
4,1,1.25,-0.125,move fast towards right
1,4,0.5417,-0.0339,move slow towards left
4,1,1,-0.75,move fast towards right
1,4,0.875,0.0125,move slow towards left
4,1,0.9167,0,move slow towards right
1,4,1.5,0,move fast towards left
4,1,1.25,0,move fast towards right
1,4,1,-0.125,move fast towards left
4,1,0.6667,0.025,move slow towards right
1,4,1.5,0,move fast towards left
4,1,1.25,-0.125,move fast towards right
1,4,1,0.125,move slow towards left
4,1,0.625,0.0312,move slow towards right
1,4,0.6667,0,move slow towards left
4,1,1,-0.125,move fast towards right
1,4,1.5,0,move fast towards left
4,1,0.6667,0,move slow towards right
1,4,0.4583,-0.0089,move slow towards left
4,1,0.6667,0.025,move slow towards right
1,4,1.5,0,move fast towards left
4,1,1.25,-0.125,move fast towards right
1,4,0.6667,0,move slow towards left
4,1,1.5,0,move fast towards right
